,Code,SMILES
158,CC01509,COC1=C(NC(NCCNC(OC(C)(C)C)=O)=S)C=CC(OC)=C1
159,CC03301,S=C(N(CCC1)CCN1C(OC(C)(C)C)=O)NC2=C(C=CC=C2)N3CCOCC3
160,CC05901,CC1=C(C=CC(C)=C1)NC(N(CCC2)CCN2C(OC(C)(C)C)=O)=S
161,CC09709,O=S(C1=CC=C(Cl)C=C1)(NCCNC(OC(C)(C)C)=O)=O
162,CC12001,O=S(N(CCC1)CCN1C(OC(C)(C)C)=O)(C(C=C2)=CC=C2C)=O
163,CC12801,FC1=C(C=CC(F)=C1)NC(N(CCC2)CCN2C(OC(C)(C)C)=O)=S
164,CC14601,O=C(C(C=C1)=CC=C1Cl)N(CCC2)CCN2C(OC(C)(C)C)=O
165,CC16401,CC(C)(C)OC(NCCNC(NCC(C)C)=S)=O
166,CC00044,O=C(N(CCC1)CCN1C(OC(C)(C)C)=O)C(C=C2)=CC=C2[N+]([O-])=O
167,CC00509,FC(F)(F)C1=CC=C(NC(NCCNC(OC(C)(C)C)=O)=O)C=C1
168,CC01601,CC1=NC(C2=CC=C(NC(C)=O)C=C2)=CS1
169,CC03309,O=C(OC(C)(C)C)NCCNC(NC(C)C)=O
170,CC06009,FC(F)(F)C1=C(C=CC=C1)NC(NCCNC(OC(C)(C)C)=O)=O
171,CC10201,S=C(NCCNC(OC(C)(C)C)=O)NCC1=CC=CC=C1
172,CC12013,FC(F)(F)OC(C=C1)=CC=C1C(NCCNC(OC(C)(C)C)=O)=O
173,CC13201,O=C(NCCNC(OC(C)(C)C)=O)NC1=CC=CC=C1
174,CC14701,S=C(NCCNC(OC(C)(C)C)=O)NC1CCCCC1
175,CC16413,CC1=C(NC(NCCNC(OC(C)(C)C)=O)=S)C(Cl)=CC=C1
176,CC00048,ClC1=CC=C(/C=N/CCNC(OC(C)(C)C)=O)C=C1
177,CC00701,CC(C)(C)OC(NCCNC(/C=C/C(O)=O)=O)=O
178,CC01609,CC1=NC(C2=CC=C(S(N(CC3)CCN3CC4=CC=CC=C4)(=O)=O)S2)=CS1
